"Use Default","Use Default"
"-- Please Select --","-- Please Select --"
"STORE VIEW","STORE VIEW"
"Brand Information","Brand Information"
"Name","Name"
"Sort Order","Sort Order"
"URL Key","URL Key"
"Page Title","Page Title"
"Current Thumbnail Image","Current Thumbnail Image"
"Logo","Logo"
"Current Image","Current Image"
"Banner","Banner"
"Banner click-through URL","Banner click-through URL"
"Is Featured","Is Featured"
"Yes","Yes"
"No","No"
"Status","Status"
"Short Description","Short Description"
"Description","Description"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Item ID","Item ID"
"Product Name","Product Name"
"Purchased from Store","Purchased from Store"
"Purchase Date","Purchase Date"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"Qty","Qty"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Type","Type"
"Attrib. Set Name","Attrib. Set Name"
"Visibility","Visibility"
"SKU","SKU"
"Price","Price"
"Featured","Featured"
"Number of loyal members","Number of loyal members"
"Number of items","Number of items"
"# Items","# Items"
"General Information","General Information"
"Products","Products"
"Sold Items","Sold Items"
"Sales Chart","Sales Chart"
"Save Brand","Save Brand"
"Delete Brand","Delete Brand"
"Save And Continue Edit","Save And Continue Edit"
"Edit Brand ","Edit Brand "
"Add Brand","Add Brand"
"Action","Action"
"Edit","Edit"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change Featured","Change Featured"
"Change Status","Change Status"
"Import Information","Import Information"
"Import File","Import File"
"Import Brands","Import Brands"
"Brand Manager","Brand Manager"
"Brand Name","Brand Name"
"Number of Items Sold","Number of Items Sold"
"View sales chart","View sales chart"
"Sales Report by Brand","Sales Report by Brand"
"Option 1: Add the code below to a CMS Page or a Static Block","Option 1: Add the code below to a CMS Page or a Static Block"
"Option 2: Add the code below to a template file","Option 2: Add the code below to a template file"
"Option 3: Add the code below to a layout file","Option 3: Add the code below to a layout file"
"Recommended","Recommended"
"All","All"
"Brands","Brands"
"Brand Listing","Brand Listing"
"Custom","Custom"
"Last 24 Hours","Last 24 Hours"
"Last 7 Days","Last 7 Days"
"Current Month","Current Month"
"YTD","YTD"
"2YTD","2YTD"
"Brand Category Index","Brand Category Index"
"Brand Url Index","Brand Url Index"
"Please choose the csv file as sample to import brands.","Please choose the csv file as sample to import brands."
"All Brands","All Brands"
"Enabled","Enabled"
"Disabled","Disabled"
"Normal","Normal"
"Slide","Slide"
"Logo and name","Logo and name"
"Only name","Only name"
"Only logo","Only logo"
"None","None"
"In Left Column","In Left Column"
"In Right Column","In Right Column"
"Brands Manager","Brands Manager"
"Manage Brands / Shop by Brand / Magento Admin","Manage Brands / Shop by Brand / Magento Admin"
"Import brands","Import brands"
"Invalid file upload attempt","Invalid file upload attempt"
"Item Manager","Item Manager"
"Item News","Item News"
"Edit Brands / Shop by Brand / Magento Admin","Edit Brands / Shop by Brand / Magento Admin"
"Add Brands / Shop by Brand / Magento Admin","Add Brands / Shop by Brand / Magento Admin"
"Brand does not exist","Brand does not exist"
"Brand was saved successfully.","Brand was saved successfully."
"Unable to find brand to save","Unable to find brand to save"
"Brand was successfully deleted","Brand was successfully deleted"
"trial","trial"
"development","development"
"You are using a %s version of %s extension. It will be expired on %s.","You are using a %s version of %s extension. It will be expired on %s."
"Report Brand","Report Brand"
"Subscriber","Subscriber"
"Shop by Brand","Shop by Brand"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription.","There was a problem with the subscription."
"Please enter a valid email address.","Please enter a valid email address."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Confirmation request has been sent.","Confirmation request has been sent."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"Please enter a valid email address","Please enter a valid email address"
"Confirmation request has been sent","Confirmation request has been sent"
"Thank you for your subscription","Thank you for your subscription"
"There was a problem with the subscription","There was a problem with the subscription"
"Manage Brands","Manage Brands"
"Brand Reports","Brand Reports"
"Settings","Settings"
"Allow Everything","Allow Everything"
"Shopbybrand","Shopbybrand"
"Manage Items","Manage Items"
"Magestore Extension","Magestore Extension"
"General Configuration","General Configuration"
"Enable Shop by Brand","Enable Shop by Brand"
"Display Top Link","Display Top Link"
"Frontend URL Path","Frontend URL Path"
"Attribute Code","Attribute Code"
"Menu Bar","Menu Bar"
"Show Link to Brand Listing Page","Show Link to Brand Listing Page"
"Number of Brands Displayed","Number of Brands Displayed"
"Brand Listing Page","Brand Listing Page"
"Brand Display","Brand Display"
"Group Brands by First Character","Group Brands by First Character"
"List charactor to group","List charactor to group"
"Hide Brands Without Products","Hide Brands Without Products"
"Show Number of Products","Show Number of Products"
"Display Logo","Display Logo"
"Width","Width"
"Height","Height"
"Featured Brands ","Featured Brands "
"Display","Display"
"Shown as Slider","Shown as Slider"
"Search and Filter","Search and Filter"
"Display Filter by Character","Display Filter by Character"
"Display Search Box","Display Search Box"
"Display Brand by Category","Display Brand by Category"
"Brand Detailed Page","Brand Detailed Page"
"Layout","Layout"
"Number of products per row","Number of products per row"
"Display Banner","Display Banner"
"Display Featured Products","Display Featured Products"
"Brand Detailed Page On Sidebar","Brand Detailed Page On Sidebar"
"Search Box","Search Box"
"Display Bestseller Products","Display Bestseller Products"
"Number of Products Shown","Number of Products Shown"
"Bestseller Products","Bestseller Products"
"Display Shop by Option","Display Shop by Option"
"Shop by Option","Shop by Option"
"Sidebar Block Order","Sidebar Block Order"
"Hide Block In Left","Hide Block In Left"
"Hide Block In Right","Hide Block In Right"
"Brand Listing Sidebar","Brand Listing Sidebar"
"Enable Block","Enable Block"
"Number of Brands Shown","Number of Brands Shown"
"Display Option","Display Option"
"Featured Brands Advanced Configuration","Featured Brands Advanced Configuration"
"Display On Other Places","Display On Other Places"
"Embedded Code","Embedded Code"
" Set URL path for the Brand Listing page. For example: http://www.yourstore.com/brand. "," Set URL path for the Brand Listing page. For example: http://www.yourstore.com/brand. "
"Name of  the Manufacturer attribute will be imported to brands. "manufacturer" is default .","Name of  the Manufacturer attribute will be imported to brands. "manufacturer" is default ."
"Support Magento Community Edition 1.7.x and later.","Support Magento Community Edition 1.7.x and later."
"If empty or zero, there is no limitation.","If empty or zero, there is no limitation."
"Show each brand’s product number next to its name.","Show each brand’s product number next to its name."
"In pixel. Recommended size: smaller than 200px.","In pixel. Recommended size: smaller than 200px."
"Select block will show in left column","Select block will show in left column"
"Select block will show in right column","Select block will show in right column"
"Display the block on pages having sidebar.","Display the block on pages having sidebar."
"If empty or zero, there’s no limitation.","If empty or zero, there’s no limitation."
"Show logo and name by default.","Show logo and name by default."
"BestSeller Products","BestSeller Products"
"Brand by Category","Brand by Category"
"All Categories","All Categories"
"Featured Brands","Featured Brands"
"Featured Products","Featured Products"
"Search by name","Search by name"
"Brand Search","Brand Search"
"Brand Not Found!","Brand Not Found!"
"Brands","Brands"
"View all","View all"
"Sign up for new products","Sign up for new products"
"Be ","Be "
"Type your email address","Type your email address"
"Submit","Submit"
"Please type your keyword","Please type your keyword"
"Enter Keyword","Enter Keyword"
"Search","Search"
"Brand categories","Brand categories"
"Number of items sold","Number of items sold"
"Lifetime Sales","Lifetime Sales"
"Show sales chart","Show sales chart"
"from","from"
"Select Date","Select Date"
"to","to"
"View Chart","View Chart"
"Select Range","Select Range"
"No Data Found","No Data Found"
"Select Time Range","Select Time Range"
"Show Sales Report","Show Sales Report"
"From","From"
"To","To"
"You\'ve successfully imported ","You\'ve successfully imported "
" new item(s) and updated "," new item(s) and updated "
"item(s). Please reindex brand URL key.","item(s). Please reindex brand URL key."
